user_id,item_id,rating,review_text,timestamp
u_0000,i_6473,5.0,"I love it ,its so fun and I love that there is no build times",1511544882103
u_0000,i_4810,5.0,It's a good game it can get challenging but it's a lot of fun,1528752146440
u_0000,i_7926,5.0,If you can't get Fortnite then this is probably your best bet for a battle royale it's super fun and it's addicting.😃😁,1548347431071
u_0000,i_6452,5.0,Awesome game it need to give more money for every tower you destroy,1559959233554
u_0000,i_8085,5.0,It's very fun and good game,1567350456713
u_0000,i_5175,3.0,Because your getting ready to spread cheer but fun,1611516620272
u_0000,i_8457,5.0,I love this game,1613363123214
u_0000,i_7936,5.0,I did not find slither io but when I met this is slither io but way Different,1618684773913
u_0000,i_1890,5.0,New boss will be the boss,1619567321735
u_0000,i_8548,5.0,If there was multi player it would be fun is just a puzzle but can there be a battle mode.,1634331998888
u_0001,i_0129,5.0,"This app is great!  It has a daily verse, a daily reading plan and then a whole list of daily devotionals, both audio and written.  There is even a daily verse widget that you can put right on your home screen.  I usually check out the Our Daily Bread audio podcast from here instead of going to odb.org.  There is also a place to search the bible by verse or keyword.  Many of the popular versions are available.  Is exactly what is says... a Daily Bible!  Thanks for this app!",1300983787000
u_0001,i_0256,5.0,"This is a great app and allows for complete control of your CPU.  There are some standard settings that you can use if you don't want to experiment, but if you really want control, you can set maximum CPU based on your battery level and for when your phones screen is off.  Some theorize that capping the CPU wont help since it will just cause your CPU to run longer and kill the battery anyway, but I disagree.  That may be the case on a rare basis, but overall it has really kept the usage under control.  To me, heat = major battery drain.  Since I installed this, I rarely feel serious warmth from my HTC HD2 (running froyo off SD card). On that note, you can also set up CPU temp profiles to keep it under a certain temp.  Best $2 I've spent so far!  Thanks!",1301755390000
u_0001,i_0176,4.0,This is basically a platform to organize links to news websites. You can add in custom links but you can't remove the ones already there. I wish you could remove some of them.  Overall a handy app!,1310159776000
u_0001,i_0537,4.0,"This is is a great and engaging puzzler game but they didn't get really challenging until the last series. For the price, its a no brainer though. Great graphics and smooth feel. Would buy again.",1319416766000
u_0001,i_0652,4.0,"like one reviewer said, some cracks are realistic while some look like a bullet hole. Also, one crack won't cover the whole screen as happens many times. the sounds are like you are throwing a bottle against the wall. clever as a stress reliever but the dev has obviously never broken their screen. 3 stars for the app + 1 star because its free.",1324391676000
u_0001,i_0953,5.0,"If you like the original, then this is a no brainer.  If you are new to Quell, I would get the original first because going from this back to the original would feel like a small step backwards. This adds movable spikes, multiple water drops and a new ""red blob"" hazard. A downside with the original is that I flew through the lower levels and they didn't get challenging until about the 6th ""shelf"".  This one increases in difficulty at around the 4th shelf (partially due to the new additions mentioned above), so it appears there will be a little more longevity with this one for me.  Definitely worth a buck!",1326731875000
u_0001,i_0260,5.0,"I like to post pictures on instagram (IG user chileheadcraig) and use this most often to tweak them before posting.  Its nice that it has a square crop feature (tap at the top in crop mode) so I can crop it ahead of time and then post the full picture.  The most used items are the saturation, contrast and HDR, but I often mix others in like Lomo, cross process and soft glow.  The pop color feature works really well too!  I tag my images with my user name to prevent copying and used one of the font packs to get a nice font to use.  All in all, its a great app!  It is on the high side price-wise.... I would have expected around $3 but if you will use all the ""fun"" features, you can get your moneys worth.",1352477021000
